u,v,lon,lat,length,N01,N02,N03,N06,N07,N08,N14,N15,N17,N_YP,N_GC,N_MED,N_WAIT,priority,csvi_E,csvi_S_env,csvi_S_contact,csvi_AC_phys,csvi_AC_social,AC_med_dom,AC_tech_dom,AC_mkt_dom,AC_sport_dom,AC_soc_cul_dom
64809719,13176186061,121.4536417,31.2148112,22.632863328431807,0.20289855072463767,0.5327086077485138,0.2621208558054095,0.5763298709474347,0.857290962789311,0.8397637588832945,0.2868963801769684,0.804110258256752,0.08992113168604553,0.40845388639264707,0.5408162792320399,0.16666666666666666,0.4,0.1657753340210667,0.4983860426440689,0.04521922290371996,0.3245827883530825,0.13254394849392465,0.3440600201845428,0.323435571761057,0.453498752947101,0.2504451427332801,0.3991653074249065,0.2892459510807839
64809719,131166911,121.45322005,31.214591749999997,91.56313417723766,0.057971014492753624,0.5327086077485138,0.17799903703148912,0.5763298709474347,0.8516785738216918,0.8448311084211165,0.20314155671382542,0.8181703648264533,0.16531307449133423,0.40845388639264707,0.5408162792320399,0.16666666666666666,0.4,0.1566948842938772,0.48720922981193715,0.03533518500021311,0.3254522509128889,0.21096599939088406,0.2717398829113707,0.34728350792621915,0.4981037114493961,0.2586769075548511,0.35672625763131915,0.21129670487243668
64809719,13176186058,121.4538205,31.214750549999998,27.9775141792684,0.27536231884057966,0.5327086077485138,0.2863810936076465,0.5763298709474347,0.6408228007556628,0.6709847790832081,0.30755322961929504,0.7139390880160882,0.15893555081246666,0.40845388639264707,0.5408162792320399,0.16666666666666666,0.4,0.17090589717417845,0.4983860426440689,0.05871637038334739,0.32687486759984186,0.13351751960598973,0.3642727766990632,0.33833395143025025,0.47192757361067356,0.2641853620844644,0.416025826075393,0.3348372654788167
13176186061,64809719,121.4536417,31.2148112,22.632863328431807,0.20289855072463767,0.5327086077485138,0.2621208558054095,0.5763298709474347,0.857290962789311,0.8397637588832945,0.2868963801769684,0.804110258256752,0.08992113168604553,0.40845388639264707,0.5408162792320399,0.16666666666666666,0.4,0.1657753340210667,0.4983860426440689,0.04521922290371996,0.3245827883530825,0.13254394849392465,0.3440600201845428,0.323435571761057,0.453498752947101,0.2504451427332801,0.3991653074249065,0.2892459510807839
13176186061,11834044412,121.4535641,31.2149901,19.826869085588108,0.20289855072463767,0.5327086077485138,0.23967067861541627,0.5763298709474347,0.857290962789311,0.8397637588832945,0.26467448569880003,0.804110258256752,0.08992113168604553,0.40845388639264707,0.5408162792320399,0.16666666666666666,0.4,0.1657753340210667,0.4983860426440689,0.04521922290371996,0.3245827883530825,0.13254394849392465,0.3440600201845428,0.323435571761057,0.453498752947101,0.2504451427332801,0.3991653074249065,0.2892459510807839
13176186061,13176186062,121.4537447,31.2149463,28.121616933040514,0.20289855072463767,0.5327086077485138,0.23967067861541627,0.5763298709474347,0.857290962789311,0.8397637588832945,0.26467448569880003,0.804110258256752,0.08992113168604553,0.40845388639264707,0.5408162792320399,0.16666666666666666,0.4,0.1657753340210667,0.4983860426440689,0.04521922290371996,0.3245827883530825,0.13254394849392465,0.3440600201845428,0.323435571761057,0.453498752947101,0.2504451427332801,0.3991653074249065,0.2892459510807839
131166911,64809719,121.45322005,31.214591749999997,91.56313417723766,0.057971014492753624,0.5327086077485138,0.17799903703148912,0.5763298709474347,0.8516785738216918,0.8448311084211165,0.20314155671382542,0.8181703648264533,0.16531307449133423,0.40845388639264707,0.5408162792320399,0.16666666666666666,0.4,0.1566948842938772,0.48720922981193715,0.03533518500021311,0.3254522509128889,0.21096599939088406,0.2717398829113707,0.34728350792621915,0.4981037114493961,0.2586769075548511,0.35672625763131915,0.21129670487243668
131166911,13176717767,121.45274325,31.21456735,22.1635843708869,0.057971014492753624,0.5816579310944571,0.11070168620196155,0.5763298709474347,0.343761002372367,0.4150721248302451,0.13336156178210837,0.6345056240302944,0.13731602241977153,0.265740507258009,0.25901423019302194,0.16666666666666666,0.4,0.1368552899664593,0.5146741340596904,0.047300880267813344,0.21559211637749634,0.09052489143593448,0.2020147139641883,0.22618119849885174,0.3285072363104403,0.1646025862207885,0.16214264596788822,0.1291523379894152
131166911,12339517491,121.45251010000001,31.2144013,49.95289443325894,0.057971014492753624,0.5816579310944571,0.08335970795149956,0.5763298709474347,0.7489573491885562,0.7510081056462478,0.10879930654164989,0.7695334966003562,0.14824139940857695,0.265740507258009,0.25901423019302194,0.16666666666666666,0.4,0.15360346269861114,0.5146741340596904,0.04866447253752782,0.2122491205297454,0.12353213509455807,0.043571480103556576,0.21945251782505393,0.1319117114519447,0.14703958646312734,0.12020237118245504,0.09574542944830025
131166911,13180122158,121.4528904,31.2138142,147.6666912551832,0.07246376811594203,0.584729791079213,0.11018357459559715,0.6988773476025602,0.8106504779372525,0.8054354466368674,0.1417252730775772,0.7620368162771859,0.11643260849815891,0.3485937466789206,0.589643959599563,0.0,0.0,0.1489603032120876,0.5089086725360302,0.03502769715781456,0.27511007023805933,0.16799464295349692,0.2244370047818106,0.1620560735354526,0.40734451769202257,0.19696702132404675,0.18541171227616704,0.20031345412933096
