Id,lon,lat,betweenness_raw,harmonic_raw,pagerank_raw,od_composite,trip_starts,trip_ends,edge_out_w,edge_in_w
156,121.44355769999997,31.216703140952383,192.7838667693646,90.16666666666656,0.003595860649086483,0.30297656453910465,10,7,14,11
164,121.45179749999997,31.218338010000004,100.9629128785717,84.33333333333323,0.0024713245167284157,0.2611052767692364,3,2,8,7
12,121.4408310811594,31.18555815478261,781.2832973756762,107.08333333333324,0.013104908017661421,0.552423709722417,25,34,35,44
201,121.44952531272725,31.199436535818162,619.0830233003478,103.58333333333323,0.009917443166462574,0.4780038887116154,22,20,35,33
204,121.45042419999994,31.191329953333334,482.6456069729396,95.83333333333321,0.007775208331773317,0.41094184695324154,12,13,23,24
197,121.43806459999998,31.19224548,269.5975243543195,97.58333333333323,0.004902498281272857,0.3504194143954853,10,9,15,14
34,121.44721983333336,31.188634235925928,268.80423298013005,94.08333333333323,0.005839454394220526,0.3555133759249887,9,11,16,18
84,121.44022681702128,31.201332579148943,790.1195173050934,101.91666666666659,0.01137568011744425,0.5127784955700471,15,24,23,32
37,121.44267169999996,31.19118228774195,243.31703479610223,98.99999999999993,0.0055456550405611925,0.3615804178080954,15,8,23,16
24,121.43697740416663,31.188812255000002,456.39255780810043,100.16666666666654,0.008390724916475453,0.4294454267943589,20,20,28,28
210,121.43806459999999,31.190185545,213.234956742662,89.33333333333321,0.004387982479058853,0.31500109297498896,10,6,14,10
27,121.43119810000002,31.189498899999993,67.10846090089505,81.83333333333333,0.0027524718611616704,0.25549878303385054,5,7,6,8
50,121.4349133669643,31.19294438651787,3422.463478838944,125.16666666666663,0.022297146149634278,1,40,34,78,72
55,121.4331756520001,31.196365360000044,2694.455791307558,116.83333333333323,0.020553157133274443,0.8799278206500727,37,37,63,63
77,121.44175529062501,31.198811532812496,194.9761399379308,96.83333333333323,0.006299572637128298,0.3627631651914558,12,13,19,20
13,121.43285358493151,31.185680025068507,801.8569103669638,106.58333333333326,0.013944068161983772,0.56607542981307,31,35,38,42
1,121.43840792499999,31.180343626666673,43.81563599781726,85.16666666666664,0.0027554936003861973,0.26215395211937587,5,4,8,7
212,121.43075177750003,31.200485229999998,867.6852352306544,104.83333333333323,0.008280013490965276,0.4802190510384407,14,11,29,26
10,121.43367004,31.184123450571413,388.86865705736676,97.24999999999991,0.006222462996465834,0.3815644265508748,16,14,21,19
182,121.43041335714285,31.190872189999997,68.48468792032509,87.1666666666666,0.0023643178921690256,0.26383243346643565,8,5,9,6
199,121.44547701084328,31.197887560963842,1286.7287857459148,112.99999999999994,0.01625729566430729,0.6661674649516959,31,32,51,52
36,121.4399302150943,31.191623612830213,937.0269140650191,104.16666666666657,0.011976399338478744,0.5423701312049133,14,21,32,39
69,121.43257139999999,31.199111940000005,134.47895044816607,89.33333333333323,0.002985598191665244,0.28563957214882624,9,4,13,8
175,121.43198284285715,31.192245480000004,318.2872020266317,90.83333333333324,0.005423151835915832,0.3452386255295254,6,8,13,15
144,121.45352393428568,31.213825771428557,622.8357466988757,93.24999999999986,0.0064026384692881366,0.39648617722570983,16,15,20,19
102,121.4410608727273,31.204105721818177,375.4675193140401,94.33333333333319,0.005253990140200586,0.357512184336757,9,5,17,13
119,121.43428802500001,31.21009827,92.32344185573268,80.74999999999999,0.0027878758144619965,0.25561717401328077,4,5,7,8
143,121.44081120000001,31.213531495000005,64.5854963328628,77.08333333333331,0.0029577011625979296,0.24577758876892172,3,5,5,7
168,121.45042420000001,31.21833801,19.43951791979541,70.83333333333339,0.003136464463132297,0.2275010650002387,1,6,3,8
217,121.44630430000002,31.201858519999988,83.95731420739381,85.74999999999989,0.004220742527732623,0.2902804292834676,4,7,8,11
62,121.4537811555555,31.196563724111083,1457.3996689740934,114.58333333333326,0.017444900916724754,0.7053756624687506,32,30,60,58
83,121.43257139999999,31.201171875,117.46982146584669,91.66666666666656,0.0035786607676971745,0.2993699370014041,7,6,12,11
81,121.43778289743587,31.19914715256409,451.88801343925707,102.08333333333323,0.00819279884554927,0.43104963765047843,13,18,21,26
29,121.42367490434783,31.19015569086956,143.21896813138258,91.08333333333323,0.0032927117838503915,0.29590146660609945,14,7,16,9
104,121.4435577,31.20597839,0,61.200000000000074,0.0007462284870906955,0.16298268974700422,2,0,2,0
109,121.44588174615386,31.20587275230768,209.49499754579455,82.08333333333326,0.0037144562112381495,0.284911650927013,3,7,6,10
196,121.44003498695655,31.19361877000002,182.58074476617622,85.0833333333332,0.006595775223970923,0.3348457335450048,4,13,10,19
118,121.43590655714283,31.208371843999995,741.9754760887024,98.74999999999991,0.006647893030228107,0.4265304279395096,16,13,22,19
139,121.44775389444443,31.212081911111113,158.22632601689233,91.33333333333321,0.0042487821649427595,0.31281667342301894,7,7,11,11
108,121.45558244878049,31.20504053341462,857.7923682828438,104.4166666666666,0.008699429971067941,0.48463311407211024,16,17,24,25
28,121.44001613157896,31.188992951052636,464.77080408846723,101.0833333333332,0.006619238276231117,0.4053026030524765,18,15,23,20
7,121.44717821818178,31.184005739999996,27.035842504930876,74.08333333333337,0.0029528620341533955,0.234056217250608,3,6,5,8
79,121.4513239482758,31.20048523000002,222.88832227652568,97.16666666666656,0.006017687932415348,0.362009417965385,10,8,21,19
105,121.45245429565213,31.205202182608694,252.7581200436954,90.49999999999989,0.004584741238572677,0.325000764883459,10,11,12,13
103,121.450094608,31.204055784,199.7265067670845,92.74999999999986,0.004712182735699368,0.3277988916969848,12,9,16,13
162,121.45429813582096,31.217661613432863,1403.4308588265606,110.7499999999999,0.012937452612667707,0.6201929106879343,28,23,44,39
127,121.44261355625004,31.20923996375,116.19401208818995,87.58333333333323,0.004061208017453754,0.29583496566856665,5,6,10,11
95,121.44692228500003,31.203987119499992,187.99688566560494,90.16666666666654,0.004356191430684713,0.31427055584214475,7,7,13,13
75,121.4348736970588,31.200081321176473,530.2393354206831,102.24999999999991,0.007206098063101478,0.42386303139749143,12,11,23,22
128,121.45599817647062,31.210017488235295,269.77014418851076,87.41666666666657,0.003420664537872826,0.3004413294969285,7,7,10,10
133,121.44048420476193,31.211144586190464,262.82483034434176,95.7499999999999,0.004227116087484033,0.33443110169008256,10,8,13,11
32,121.43605958200001,31.19087218999999,928.2414602185534,101.16666666666656,0.01186576364616631,0.5318138885567878,14,21,29,36
30,121.43372786315803,31.190390333859636,1017.5272169432029,100.66666666666656,0.012282025479410534,0.545616806153574,17,32,25,40
112,121.45703312500002,31.20666503499999,109.33507851750419,87.4999999999999,0.0032867157045576513,0.2829657457881651,7,7,9,9
137,121.45454409999999,31.212440941176478,197.99726003697336,88.58333333333326,0.004126932647755154,0.307481947659452,6,8,9,11
148,121.44345960714284,31.2136622845238,1004.101345361637,103.58333333333323,0.01004095301569,0.5174133869031448,16,17,25,26
57,121.42985749761907,31.19590759666665,560.2561619703965,101.49999999999989,0.006822500038549018,0.41885600048315247,21,15,27,21
205,121.44873046333342,31.192749019666675,229.1708497523149,90.0833333333332,0.007385914319319423,0.3649202654524604,9,14,16,21
135,121.45154780909085,31.211097026363618,729.3327124642898,97.41666666666653,0.006549838861678219,0.4202316277102544,16,14,19,17
163,121.44854735666672,31.217422483333344,651.285658362845,98.5833333333332,0.008269490089518796,0.4423354139308017,10,8,22,20
54,121.4501190222222,31.19578552644445,267.0731152610369,102.24999999999991,0.00981481561312831,0.4385814396113872,12,13,32,33
123,121.45252992666671,31.208602906888878,759.1174460676186,101.83333333333327,0.009095533364944824,0.47426951034857856,18,20,25,27
