u,v,lon,lat,length,N01,N02,N03,N06,N07,N08,N14,N15,N17,N_YP,N_GC,N_MED,N_WAIT,priority,csvi_E,csvi_S_env,csvi_S_contact,csvi_AC_phys,csvi_AC_social
62901911,10948122078,121.47593085,31.2002166,63.59915933086221,0.1,0.4150407885692785,0.1329698790841325,0.202398578620077,0.3115421544572242,0.4017077636873211,0.1367312363734671,0.5801877268933155,0.13792898026326939,0.4661960282562555,0.20867993400022247,0.14285714285714285,0.4,0.22502972651752762,0.3830128843203061,0.08133593513712693,0.39263771756483334,0.009872989778288455,0.055659966909096234
62901911,9850907381,121.47758645,31.20074285,272.7961042609596,0.0,0.6618169017911588,0.04413233410182074,0.22238673378738527,0.3115421544572242,0.4017077636873211,0.051277687428628316,0.5801877268933155,0.16011156279299635,0.5195636122058964,0.39733565142648847,0.0,0.0,0.3545684846908251,0.5500692172984915,0.08133593513712693,0.4375847464623398,0.009872989778288455,0.0
62901911,62901921,121.4748172,31.199708049999998,306.36832611455105,0.16666666666666666,0.6625923168347035,0.17738865157528838,0.0,0.3115421544572242,0.4017077636873211,0.16763043179316325,0.5801877268933155,0.16011156279299635,0.5322666555866318,0.38653252318132336,0.0,0.0,0.37473855197851136,0.5731991015642651,0.08133593513712693,0.4482834518498456,0.009872989778288455,0.16697990072728872
10948122078,62901911,121.47593085,31.2002166,63.59915933086221,0.1,0.4150407885692785,0.1329698790841325,0.202398578620077,0.3115421544572242,0.4017077636873211,0.1367312363734671,0.5801877268933155,0.13792898026326939,0.4661960282562555,0.20867993400022247,0.14285714285714285,0.4,0.22502972651752762,0.3830128843203061,0.08133593513712693,0.39263771756483334,0.009872989778288455,0.055659966909096234
10948122078,86782973,121.47228555000001,31.1990227,679.4655297432694,0.0,0.1253866537043886,0.02679788267318192,0.3141348336788076,0.18214500478227563,0.2911330293961036,0.03995407197460038,0.5566191317781348,0.3477428504699785,0.3789384320682827,0.045133069621520916,0.0,0.0,0.04695109862454132,0.10674234846841103,0.04171142857461448,0.31238960604596266,0.0012696781449248965,0.0
10948122078,9850907381,121.47726270000001,31.20067145,453.72048823542616,0.0,0.6828499294655707,0.04413233410182074,0.22238673378738527,0.3115421544572242,0.4017077636873211,0.051277687428628316,0.5801877268933155,0.38193738809026584,0.5028879275359527,0.4099146667899583,0.0,0.0,0.35606633318013803,0.5677592823656885,0.08133593513712693,0.42354021933042135,0.009872989778288455,0.0
9850907381,62901911,121.47758645,31.20074285,272.7961042609596,0.0,0.6618169017911588,0.04413233410182074,0.22238673378738527,0.3115421544572242,0.4017077636873211,0.051277687428628316,0.5801877268933155,0.16011156279299635,0.5195636122058964,0.39733565142648847,0.0,0.0,0.3545684846908251,0.5500692172984915,0.08133593513712693,0.4375847464623398,0.009872989778288455,0.0
9850907381,10948122078,121.47726270000001,31.20067145,453.72048823542616,0.0,0.6828499294655707,0.04413233410182074,0.22238673378738527,0.3115421544572242,0.4017077636873211,0.051277687428628316,0.5801877268933155,0.38193738809026584,0.5028879275359527,0.4099146667899583,0.0,0.0,0.35606633318013803,0.5677592823656885,0.08133593513712693,0.42354021933042135,0.009872989778288455,0.0
62901921,62901911,121.4748172,31.199708049999998,306.36832611455105,0.16666666666666666,0.6625923168347035,0.17738865157528838,0.0,0.3115421544572242,0.4017077636873211,0.16763043179316325,0.5801877268933155,0.16011156279299635,0.5322666555866318,0.38653252318132336,0.0,0.0,0.37473855197851136,0.5731991015642651,0.08133593513712693,0.4482834518498456,0.009872989778288455,0.16697990072728872
62901921,62901922,121.47336440000001,31.19908655,9.693567492262076,0.0,0.5875548122846443,0.04900726891875985,0.0,0.18214500478227563,0.2911330293961036,0.042313996778722045,0.5566191317781348,0.14809960770243596,0.34381770030935116,0.3184439266533916,0.0,0.0,0.19786080707667256,0.48988782591664154,0.04171142857461448,0.2834367455553129,0.0012696781449248965,0.0
62901921,467035962,121.47326135,31.199411849999997,70.5482717419472,0.0,0.5875548122846443,0.04413233410182074,0.3141348336788076,0.3115421544572242,0.4017077636873211,0.05691766933423624,0.5801877268933155,0.18229414532272328,0.34381770030935116,0.3184439266533916,0.0,0.0,0.22570478468026348,0.48988782591664154,0.08133593513712693,0.28956874131422233,0.009872989778288455,0.0
62901922,62901921,121.47336440000001,31.19908655,9.693567492262076,0.0,0.5875548122846443,0.04900726891875985,0.0,0.18214500478227563,0.2911330293961036,0.042313996778722045,0.5566191317781348,0.14809960770243596,0.34381770030935116,0.3184439266533916,0.0,0.0,0.19786080707667256,0.48988782591664154,0.04171142857461448,0.2834367455553129,0.0012696781449248965,0.0
