id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
BV10025983,肇嘉浜路大木桥路(公交站),交通设施服务;公交车站;公交车站相关,150700,104路;146路外圈;17路;205路;218路;301路;303路;327路;41路;43路;45路;786路;864路;985路;春运24线(原303路);春运4线(原301路);隧道夜宵一线,121.463234,31.203186,,[],[],交通设施,上海市,上海市,徐汇区
BV10860390,西藏中路(快速公交站),交通设施服务;公交车站;快速公交站,150704,71路,121.478859,31.229067,,[],[],交通设施,上海市,上海市,黄浦区
BV11113526,外滩(南京东路)(公交站),交通设施服务;公交车站;公交车站相关,150700,DZ414线;旅游7线(申城观光1号线);旅游8线(申城旅游2号线),121.490091,31.238525,,[],[],交通设施,上海市,上海市,黄浦区
BV10032593,龙川北路上中路(公交站),交通设施服务;公交车站;公交车站相关,150700,718路;810路;820路;824路;973路;南南线,121.440015,31.139527,,[],[],交通设施,上海市,上海市,徐汇区
BV10030144,鲁班路斜土路(公交站),交通设施服务;公交车站;公交车站相关,150700,36路;780路;781路;869路;932路;933路;95路;974路;隧道八线,121.474699,31.204968,,[],[],交通设施,上海市,上海市,黄浦区
BV10026167,中山北路陆家宅(公交站),交通设施服务;公交车站;公交车站相关,150700,129路;224路;321路;40路;737路;743路;826路;876路;909路;陆安线(高速);陆安线(高速)B,121.422394,31.243265,,[],[],交通设施,上海市,上海市,普陀区
BV10028067,梅陇(公交站),交通设施服务;公交车站;公交车站相关,150700,南梅线;松梅专线,121.412822,31.141290,,[],[],交通设施,上海市,上海市,徐汇区
BV10029770,九江路浙江中路(公交站),交通设施服务;公交车站;公交车站相关,150700,167路;20路;330路;37路;49路;805路/805路旅游观光环线,121.478229,31.234408,,[],[],交通设施,上海市,上海市,黄浦区
BV11600184,卢浦大桥(公交站),交通设施服务;公交车站;公交车站相关,150700,146路内圈;146路外圈;17路;205路;36路;733路;95路;DZ414线;隧道八线,121.478935,31.194441,,[],[],交通设施,上海市,上海市,黄浦区
BV10024643,恒丰路汉中路(公交站),交通设施服务;公交车站;公交车站相关,150700,104路;109路;185路;301路;324路;41路;64路;741路;845路;927路;春运12线(原324路);春运4线(原301路),121.455712,31.243177,,[],[],交通设施,上海市,上海市,静安区
BV10024680,江宁路康定路(公交站),交通设施服务;公交车站;公交车站相关,150700,112路;112路区间;19路;316路/316路(夜宵线);36路;738路;740路;春运22线(原316路),121.452056,31.234979,,[],[],交通设施,上海市,上海市,静安区
BV10963571,龙华东路制造局路(公交站),交通设施服务;公交车站;公交车站相关,150700,111路;306路;327路;45路;66路;66路区间;915路;春运7线(原306路);浦西滨江1路,121.489547,31.195852,,[],[],交通设施,上海市,上海市,黄浦区
BV10025127,长风公园(公交站),交通设施服务;公交车站;公交车站相关,150700,1227路;216路;44路;67路;754路;765路;766路;837路;846路;856路;858路;876路;947路;94路,121.400521,31.232105,,[],[],交通设施,上海市,上海市,普陀区
BV10024681,江宁路海防路(公交站),交通设施服务;公交车站;公交车站相关,150700,112路;112路区间;19路;206路;316路/316路(夜宵线);328路;54路;68路;738路;740路;春运22线(原316路),121.449057,31.238155,,[],[],交通设施,上海市,上海市,静安区
BV10405654,沪闵路报春路(公交站),交通设施服务;公交车站;公交车站相关,150700,150路;166路;700路;704路B线;712路;747路;徐闵夜宵专线;徐闵线;闵行20路;闵行6路,121.395119,31.125010,,[],[],交通设施,上海市,上海市,闵行区
BV10439621,康城(北大门)(公交站),交通设施服务;公交车站;公交车站相关,150700,莘庄2路,121.357903,31.108025,,[],[],交通设施,上海市,上海市,闵行区
BV10024583,武宁新村(公交站),交通设施服务;公交车站;公交车站相关,150700,01路;105路;106路;319路;321路;36路;40路;63路;742路;768路;837路;838路;876路;948路;94路;951路;春运26线(原319路),121.423468,31.238508,,[],[],交通设施,上海市,上海市,普陀区
BV10384074,吴中路虹井路(公交站),交通设施服务;公交车站;公交车站相关,150700,776路;87路;闵行18路;闵行33路B线,121.366212,31.170339,,[],[],交通设施,上海市,上海市,闵行区
BV09363540,华展路平驰路(公交站),交通设施服务;公交车站;公交车站相关,150700,718路;闵行12路;闵行DZ9路,121.445980,31.111266,,[],[],交通设施,上海市,上海市,闵行区
